CelebrityName,Season,Week,RuleType,JudgeScore,JudgeScore_Normalization,Possible_Audience_Vote_Range,Predicted_Audience_Percent,Predicted_Audience_Rank,Loss_Total,Loss_Constraint,Loss_Smooth,Loss_Corr,Loss_Reg,Status
John O'Hurley,1,1,Rank,20.0,1,1-6,,,,,,,,Safe
Kelly Monaco,1,1,Rank,13.0,3,1-6,,,,,,,,Safe
Evander Holyfield,1,1,Rank,18.0,2,1-6,,,,,,,,Safe
Rachel Hunter,1,1,Rank,20.0,1,1-6,,,,,,,,Safe
Joey McIntyre,1,1,Rank,20.0,1,1-6,,,,,,,,Safe
Trista Sutter,1,1,Rank,18.0,2,1-6,,,,,,,,Safe
John O'Hurley,1,2,Rank,26.0,1,1-6,,,,,,,,Safe
Kelly Monaco,1,2,Rank,17.0,5,1-5,,,,,,,,Safe
Evander Holyfield,1,2,Rank,14.0,6,1-4,,,,,,,,Safe
Rachel Hunter,1,2,Rank,24.0,2,1-6,,,,,,,,Safe
Joey McIntyre,1,2,Rank,21.0,3,1-6,,,,,,,,Safe
Trista Sutter,1,2,Rank,19.0,4,3-6,,,,,,,,Eliminated (Place 6)
John O'Hurley,1,3,Rank,24.0,2,1-5,,,,,,,,Safe
Kelly Monaco,1,3,Rank,21.0,4,1-5,,,,,,,,Safe
Evander Holyfield,1,3,Rank,13.0,5,1-5,,,,,,,,Eliminated (Place 5)
Rachel Hunter,1,3,Rank,26.0,1,1-5,,,,,,,,Safe
Joey McIntyre,1,3,Rank,22.0,3,1-5,,,,,,,,Safe
John O'Hurley,1,4,Rank,21.0,3,1-3,,,,,,,,Safe
Kelly Monaco,1,4,Rank,26.0,1,1-4,,,,,,,,Safe
Rachel Hunter,1,4,Rank,25.0,2,3-4,,,,,,,,Eliminated (Place 4)
Joey McIntyre,1,4,Rank,20.0,4,1-2,,,,,,,,Safe
John O'Hurley,1,5,Rank,27.0,1,1-3,,,,,,,,Safe
Kelly Monaco,1,5,Rank,23.5,2,1-3,,,,,,,,Safe
Joey McIntyre,1,5,Rank,22.5,3,1-3,,,,,,,,Eliminated (Place 3)
John O'Hurley,1,6,Rank,27.0,2,1-2,,,,,,,,Eliminated (Place 2)
Kelly Monaco,1,6,Rank,27.5,1,1-2,,,,,,,,Safe
Tatum O'Neal,2,1,Rank,23.0,2,1-10,,,,,,,,Safe
Tia Carrere,2,1,Rank,20.0,5,1-10,,,,,,,,Safe
George Hamilton,2,1,Rank,18.0,7,1-10,,,,,,,,Safe
Lisa Rinna,2,1,Rank,19.0,6,1-10,,,,,,,,Safe
Stacy Keibler,2,1,Rank,22.0,3,1-10,,,,,,,,Safe
Jerry Rice,2,1,Rank,21.0,4,1-10,,,,,,,,Safe
Giselle Fernandez,2,1,Rank,23.0,2,1-10,,,,,,,,Safe
