CelebrityName,Season,Week,RuleType,JudgeScore,JudgeScore_Normalization,Possible_Audience_Vote_Range,Predicted_Audience_Percent,Predicted_Audience_Rank,Loss_Total,Loss_Constraint,Loss_Smooth,Loss_Corr,Loss_Reg,Loss_Diversity,Status,Percent_Predict,Rank_predict
John O'Hurley,1,1,Rank,20.0,1,1-6,16.65,3.5,,,,,,,Safe,16.65,3.5
Kelly Monaco,1,1,Rank,13.0,3,1-6,16.67,3.5,,,,,,,Safe,16.67,3.5
Evander Holyfield,1,1,Rank,18.0,2,1-6,16.67,3.5,,,,,,,Safe,16.67,3.5
Rachel Hunter,1,1,Rank,20.0,1,1-6,16.67,3.5,,,,,,,Safe,16.67,3.5
Joey McIntyre,1,1,Rank,20.0,1,1-6,16.67,3.5,,,,,,,Safe,16.67,3.5
Trista Sutter,1,1,Rank,18.0,2,1-6,16.67,3.5,,,,,,,Safe,16.67,3.5
John O'Hurley,1,2,Rank,26.0,1,1-6,14.6,3.5,,,,,,,Safe,14.6,3.5
Kelly Monaco,1,2,Rank,17.0,5,1-5,20.44,2.5,,,,,,,Safe,20.44,2.5
Evander Holyfield,1,2,Rank,14.0,6,1-4,25.54,2.0,,,,,,,Safe,25.54,2.0
Rachel Hunter,1,2,Rank,24.0,2,1-6,14.6,3.5,,,,,,,Safe,14.6,3.5
Joey McIntyre,1,2,Rank,21.0,3,1-6,14.6,3.5,,,,,,,Safe,14.6,3.5
Trista Sutter,1,2,Rank,19.0,4,3-6,10.22,5.0,,,,,,,Eliminated (Place 6),10.22,5.0
John O'Hurley,1,3,Rank,24.0,2,1-5,20.58,3.0,,,,,,,Safe,20.58,3.0
Kelly Monaco,1,3,Rank,21.0,4,1-5,20.59,3.0,,,,,,,Safe,20.59,3.0
Evander Holyfield,1,3,Rank,13.0,5,1-5,17.65,3.5,,,,,,,Eliminated (Place 5),17.65,3.5
Rachel Hunter,1,3,Rank,26.0,1,1-5,20.59,3.0,,,,,,,Safe,20.59,3.0
Joey McIntyre,1,3,Rank,22.0,3,1-5,20.59,3.0,,,,,,,Safe,20.59,3.0
John O'Hurley,1,4,Rank,21.0,3,1-3,24.0,2.0,,,,,,,Safe,24.0,2.0
Kelly Monaco,1,4,Rank,26.0,1,1-4,16.0,3.0,,,,,,,Safe,16.0,3.0
Rachel Hunter,1,4,Rank,25.0,2,3-4,12.0,4.0,,,,,,,Eliminated (Place 4),12.0,4.0
Joey McIntyre,1,4,Rank,20.0,4,1-2,48.0,1.0,,,,,,,Safe,48.0,1.0
John O'Hurley,1,5,Rank,27.0,1,1-3,30.0,2.0,,,,,,,Safe,30.0,2.0
Kelly Monaco,1,5,Rank,23.5,2,1-3,30.0,2.0,,,,,,,Safe,30.0,2.0
Joey McIntyre,1,5,Rank,22.5,3,1-3,40.0,1.5,,,,,,,Eliminated (Place 3),40.0,1.5
John O'Hurley,1,6,Rank,27.0,2,1-2,50.0,1.5,,,,,,,Eliminated (Place 2),50.0,1.5
Kelly Monaco,1,6,Rank,27.5,1,1-2,50.0,1.5,,,,,,,Safe,50.0,1.5
Tatum O'Neal,2,1,Rank,23.0,2,1-10,10.09,5.5,,,,,,,Safe,10.09,5.5
Tia Carrere,2,1,Rank,20.0,5,1-10,10.09,5.5,,,,,,,Safe,10.09,5.5
George Hamilton,2,1,Rank,18.0,7,1-10,10.09,5.5,,,,,,,Safe,10.09,5.5
Lisa Rinna,2,1,Rank,19.0,6,1-10,10.09,5.5,,,,,,,Safe,10.09,5.5
Stacy Keibler,2,1,Rank,22.0,3,1-10,10.09,5.5,,,,,,,Safe,10.09,5.5
Jerry Rice,2,1,Rank,21.0,4,1-10,10.09,5.5,,,,,,,Safe,10.09,5.5
Giselle Fernandez,2,1,Rank,23.0,2,1-10,10.09,5.5,,,,,,,Safe,10.09,5.5
Master P,2,1,Rank,12.0,9,1-9,12.34,4.5,,,,,,,Safe,12.34,4.5
Drew Lachey,2,1,Rank,24.0,1,1-10,10.09,5.5,,,,,,,Safe,10.09,5.5
Kenny Mayne,2,1,Rank,13.0,8,2-10,6.94,8.0,,,,,,,Eliminated (Place 10),6.94,8.0
Tatum O'Neal,2,2,Rank,17.0,7,2-9,7.97,7.0,,,,,,,Eliminated (Place 9),7.97,7.0
Tia Carrere,2,2,Rank,22.0,5,1-9,11.16,5.0,,,,,,,Safe,11.16,5.0
George Hamilton,2,2,Rank,22.0,5,1-9,11.16,5.0,,,,,,,Safe,11.16,5.0
Lisa Rinna,2,2,Rank,20.0,6,1-9,11.16,5.0,,,,,,,Safe,11.16,5.0
Stacy Keibler,2,2,Rank,29.0,1,1-9,11.16,5.0,,,,,,,Safe,11.16,5.0
Jerry Rice,2,2,Rank,23.0,4,1-9,11.16,5.0,,,,,,,Safe,11.16,5.0
Giselle Fernandez,2,2,Rank,24.0,3,1-9,11.16,5.0,,,,,,,Safe,11.16,5.0
Master P,2,2,Rank,16.0,8,1-8,13.91,4.0,,,,,,,Safe,13.91,4.0
Drew Lachey,2,2,Rank,27.0,2,1-9,11.16,5.0,,,,,,,Safe,11.16,5.0
Tia Carrere,2,3,Rank,26.0,2,1-8,11.03,4.5,,,,,,,Safe,11.03,4.5
George Hamilton,2,3,Rank,22.0,4,1-7,12.41,4.0,,,,,,,Safe,12.41,4.0
Lisa Rinna,2,3,Rank,25.0,3,1-8,11.03,4.5,,,,,,,Safe,11.03,4.5
Stacy Keibler,2,3,Rank,27.0,1,1-8,11.03,4.5,,,,,,,Safe,11.03,4.5
Jerry Rice,2,3,Rank,19.0,5,1-6,16.54,3.0,,,,,,,Safe,16.54,3.0
Giselle Fernandez,2,3,Rank,22.0,4,4-8,7.09,7.0,,,,,,,Eliminated (Place 8),7.09,7.0
Master P,2,3,Rank,14.0,6,1-5,19.84,2.5,,,,,,,Safe,19.84,2.5
Drew Lachey,2,3,Rank,27.0,1,1-8,11.03,4.5,,,,,,,Safe,11.03,4.5
Tia Carrere,2,4,Rank,25.0,3,1-7,14.5,4.0,,,,,,,Safe,14.5,4.0
George Hamilton,2,4,Rank,21.0,5,1-7,14.52,4.0,,,,,,,Safe,14.52,4.0
Lisa Rinna,2,4,Rank,26.0,2,1-7,14.52,4.0,,,,,,,Safe,14.52,4.0
Stacy Keibler,2,4,Rank,26.0,2,1-7,14.52,4.0,,,,,,,Safe,14.52,4.0
Jerry Rice,2,4,Rank,24.0,4,1-7,14.52,4.0,,,,,,,Safe,14.52,4.0
Master P,2,4,Rank,8.0,6,1-7,12.9,4.5,,,,,,,Eliminated (Place 7),12.9,4.5
Drew Lachey,2,4,Rank,28.0,1,1-7,14.52,4.0,,,,,,,Safe,14.52,4.0
Tia Carrere,2,5,Rank,22.0,6,1-6,14.89,4.0,,,,,,,Eliminated (Place 6),14.89,4.0
George Hamilton,2,5,Rank,24.0,4,1-6,17.03,3.5,,,,,,,Safe,17.03,3.5
Lisa Rinna,2,5,Rank,25.0,3,1-6,17.02,3.5,,,,,,,Safe,17.02,3.5
Stacy Keibler,2,5,Rank,30.0,1,1-6,17.02,3.5,,,,,,,Safe,17.02,3.5
Jerry Rice,2,5,Rank,23.0,5,1-6,17.02,3.5,,,,,,,Safe,17.02,3.5
Drew Lachey,2,5,Rank,27.0,2,1-6,17.02,3.5,,,,,,,Safe,17.02,3.5
George Hamilton,2,6,Rank,23.0,3,2-5,16.95,3.5,,,,,,,Eliminated (Place 5),16.95,3.5
Lisa Rinna,2,6,Rank,27.0,2,1-5,19.77,3.0,,,,,,,Safe,19.77,3.0
Stacy Keibler,2,6,Rank,30.0,1,1-5,19.77,3.0,,,,,,,Safe,19.77,3.0
Jerry Rice,2,6,Rank,23.0,3,1-4,23.74,2.5,,,,,,,Safe,23.74,2.5
Drew Lachey,2,6,Rank,30.0,1,1-5,19.77,3.0,,,,,,,Safe,19.77,3.0
Lisa Rinna,2,7,Rank,26.5,2,2-4,16.3,3.5,,,,,,,Eliminated (Place 4),16.3,3.5
Stacy Keibler,2,7,Rank,27.5,1,1-4,22.83,2.5,,,,,,,Safe,22.83,2.5
