CelebrityName,Season,Week,RuleType,Possible_Audience_Vote_Range,Uncertainty_Range_Min,Uncertainty_Range_Max,Uncertainty_Range_Width,Uncertainty_Index
John O'Hurley,1,1,Rank,2-5,2,5,3,0.6
Kelly Monaco,1,1,Rank,2-5,2,5,3,0.6
Evander Holyfield,1,1,Rank,2-5,2,5,3,0.6
Rachel Hunter,1,1,Rank,2-5,2,5,3,0.6
Joey McIntyre,1,1,Rank,2-5,2,5,3,0.6
Trista Sutter,1,1,Rank,2-5,2,5,3,0.6
John O'Hurley,1,2,Rank,3-5,3,5,2,0.4
Kelly Monaco,1,2,Rank,2-3,2,3,1,0.2
Evander Holyfield,1,2,Rank,1-2,1,2,1,0.2
Rachel Hunter,1,2,Rank,3-5,3,5,2,0.4
Joey McIntyre,1,2,Rank,3-5,3,5,2,0.4
Trista Sutter,1,2,Rank,5-6,5,6,1,0.2
John O'Hurley,1,3,Rank,2-5,2,5,3,0.75
Kelly Monaco,1,3,Rank,1-3,1,3,2,0.5
Evander Holyfield,1,3,Rank,3-4,3,4,1,0.25
Rachel Hunter,1,3,Rank,2-5,2,5,3,0.75
Joey McIntyre,1,3,Rank,2-4,2,4,2,0.5
John O'Hurley,1,4,Rank,2-2,2,2,0,0
Kelly Monaco,1,4,Rank,3-3,3,3,0,0
Rachel Hunter,1,4,Rank,4-4,4,4,0,0
Joey McIntyre,1,4,Rank,1-1,1,1,0,0
John O'Hurley,1,5,Rank,2-3,2,3,1,0.5
Kelly Monaco,1,5,Rank,1-3,1,3,2,1
Joey McIntyre,1,5,Rank,1-2,1,2,1,0.5
John O'Hurley,1,6,Rank,1-2,1,2,1,1
Kelly Monaco,1,6,Rank,1-2,1,2,1,1
Tatum O'Neal,2,1,Rank,3-8,3,8,5,0.555556
Tia Carrere,2,1,Rank,3-8,3,8,5,0.555556
George Hamilton,2,1,Rank,3-7,3,7,4,0.444444
Lisa Rinna,2,1,Rank,3-7,3,7,4,0.444444
Stacy Keibler,2,1,Rank,3-8,3,8,5,0.555556
Jerry Rice,2,1,Rank,3-8,3,8,5,0.555556
Giselle Fernandez,2,1,Rank,3-8,3,8,5,0.555556
Master P,2,1,Rank,2-5,2,5,3,0.333333
Drew Lachey,2,1,Rank,3-8,3,8,5,0.555556
Kenny Mayne,2,1,Rank,8-10,8,10,2,0.222222
Tatum O'Neal,2,2,Rank,7-9,7,9,2,0.25
Tia Carrere,2,2,Rank,3-7,3,7,4,0.5
George Hamilton,2,2,Rank,3-7,3,7,4,0.5
Lisa Rinna,2,2,Rank,2-6,2,6,4,0.5
Stacy Keibler,2,2,Rank,3-7,3,7,4,0.5
Jerry Rice,2,2,Rank,3-7,3,7,4,0.5
Giselle Fernandez,2,2,Rank,3-7,3,7,4,0.5
Master P,2,2,Rank,2-5,2,5,3,0.375
Drew Lachey,2,2,Rank,3-7,3,7,4,0.5
Tia Carrere,2,3,Rank,3-6,3,6,3,0.428571
George Hamilton,2,3,Rank,3-6,3,6,3,0.428571
Lisa Rinna,2,3,Rank,3-6,3,6,3,0.428571
