season,season_date_range,celebrity_name,result_text,relative_interest
1,2005年6⽉-7⽉,Kelly Monaco,Winner,100.0
1,2005年6⽉-7⽉,Rachel Hunter,4th place,9.0
1,2005年6⽉-7⽉,Trista Sutter,6th place,2.0
1,2005年6⽉-7⽉,Evander Holyfield,5th place,2.0
1,2005年6⽉-7⽉,Joey McIntyre,3rd place,2.0
1,2005年6⽉-7⽉,John O'Hurley,Runner-up,0.0
2,2006年1⽉-2⽉,Stacy Keibler,Third place,42.0
2,2006年1⽉-2⽉,Tia Carrere,Eliminated 5th,32.0
2,2006年1⽉-2⽉,Master P,Eliminated 4th,23.0
2,2006年1⽉-2⽉,Lisa Rinna,Eliminated 7th,13.0
2,2006年1⽉-2⽉,George Hamilton,Eliminated 6th,7.0
2,2006年1⽉-2⽉,Giselle Fernandez,Eliminated 3rd,7.0
2,2006年1⽉-2⽉,Jerry Rice,Runners-up,6.0
2,2006年1⽉-2⽉,Drew Lachey,Winner,4.0
2,2006年1⽉-2⽉,Kenny Mayne,Eliminated 1st,2.0
2,2006年1⽉-2⽉,Tatum O'Neal,Eliminated 2nd,0.0
3,2006年9⽉-11⽉,Mario Lopez,Runners-up,15.0
3,2006年9⽉-11⽉,Joey Lawrence,Third place,8.0
3,2006年9⽉-11⽉,Shanna Moakler,Eliminated 2nd,7.0
3,2006年9⽉-11⽉,Willa Ford,Eliminated 5th,7.0
3,2006年9⽉-11⽉,Jerry Springer,Eliminated 6th,6.0
3,2006年9⽉-11⽉,Monique Coleman,Eliminated 7th,2.0
3,2006年9⽉-11⽉,Emmitt Smith,Winner,2.0
3,2006年9⽉-11⽉,Tucker Carlson,Eliminated 1st,1.0
3,2006年9⽉-11⽉,Harry Hamlin,Eliminated 3rd,0.0
3,2006年9⽉-11⽉,Vivica A. Fox,Eliminated 4th,0.0
3,2006年9⽉-11⽉,Sara Evans,Withdrew,0.0
4,2007年3⽉-5⽉,Apolo Anton Ohno,Winner,100.0
4,2007年3⽉-5⽉,Billy Ray Cyrus,Eliminated 7th,46.0
4,2007年3⽉-5⽉,Joey Fatone,Runners-up,20.0
4,2007年3⽉-5⽉,Heather Mills,Eliminated 5th,18.0
4,2007年3⽉-5⽉,Laila Ali,Third place,12.0
4,2007年3⽉-5⽉,Ian Ziering,Eliminated 8th,5.0
4,2007年3⽉-5⽉,Paulina Porizkova,Eliminated 1st,4.0
4,2007年3⽉-5⽉,Leeza Gibbons,Eliminated 3rd,3.0
4,2007年3⽉-5⽉,Clyde Drexler,Eliminated 4th,2.0
4,2007年3⽉-5⽉,John Ratzenberger,Eliminated 6th,2.0
4,2007年3⽉-5⽉,Shandi Finnessey,Eliminated 2nd,1.0
5,2007年9⽉-11⽉,Mel B,Runners-up,100.0
5,2007年9⽉-11⽉,Marie Osmond,Third place,63.0
5,2007年9⽉-11⽉,Mark Cuban,Eliminated 5th,49.0
5,2007年9⽉-11⽉,Wayne Newton,Eliminated 3rd,46.0
5,2007年9⽉-11⽉,Josie Maran,Eliminated 1st,36.0
5,2007年9⽉-11⽉,Jane Seymour,Eliminated 7th,31.0
5,2007年9⽉-11⽉,Sabrina Bryan,Eliminated 6th,28.0
5,2007年9⽉-11⽉,Jennie Garth,Eliminated 9th,19.0
5,2007年9⽉-11⽉,Albert Reed,Eliminated 2nd,16.0
5,2007年9⽉-11⽉,Cameron Mathison,Eliminated 8th,4.0
5,2007年9⽉-11⽉,Floyd Mayweather Jr.,Eliminated 4th,0.0
5,2007年9⽉-11⽉,Hélio Castroneves,Winner,0.0
6,2008年3⽉-5⽉,Jason Taylor,Runners-up,100.0
6,2008年3⽉-5⽉,Mario,Eliminated 8th,100.0
6,2008年3⽉-5⽉,Priscilla Presley,Eliminated 5th,100.0
6,2008年3⽉-5⽉,Kristi Yamaguchi,Winners,80.0
6,2008年3⽉-5⽉,Adam Carolla,Eliminated 4th,60.0
6,2008年3⽉-5⽉,Shannon Elizabeth,Eliminated 7th,25.0
6,2008年3⽉-5⽉,Penn Jillette,Eliminated 1st,20.0
6,2008年3⽉-5⽉,Marlee Matlin,Eliminated 6th,15.0
6,2008年3⽉-5⽉,Cristián de la Fuente,Third place,10.0
6,2008年3⽉-5⽉,Marissa Jaret Winokur,Eliminated 9th,10.0
6,2008年3⽉-5⽉,Steve Guttenberg,Eliminated 3rd,10.0
6,2008年3⽉-5⽉,Monica Seles,Eliminated 2nd,10.0
7,2008年9⽉-11⽉,Toni Braxton,Eliminated 5th,100.0
7,2008年9⽉-11⽉,Cloris Leachman,Eliminated 6th,84.0
7,2008年9⽉-11⽉,Susan Lucci,Eliminated 7th,77.0
7,2008年9⽉-11⽉,Brooke Burke,Winner,76.0
7,2008年9⽉-11⽉,Cody Linley,Eliminated 9th,26.0
7,2008年9⽉-11⽉,Warren Sapp,Runners-up,16.0
7,2008年9⽉-11⽉,Lance Bass,Third place,16.0
7,2008年9⽉-11⽉,Rocco DiSpirito,Eliminated 4th,16.0
7,2008年9⽉-11⽉,Misty May-Treanor,Withdrew,10.0
7,2008年9⽉-11⽉,Maurice Greene,Eliminated 8th,2.0
8,2009年3⽉9⽇ - 2009年5⽉19⽇,Shawn Johnson,Winner,45.0
8,2009年3⽉9⽇ - 2009年5⽉19⽇,Gilles Marini,Runner-up,35.0
8,2009年3⽉9⽇ - 2009年5⽉19⽇,Melissa Rycroft,3rd Place,30.0
8,2009年3⽉9⽇ - 2009年5⽉19⽇,Lil' Kim,5th Place,28.0
8,2009年3⽉9⽇ - 2009年5⽉19⽇,Lawrence Taylor,7th Place,25.0
8,2009年3⽉9⽇ - 2009年5⽉19⽇,Steve-O,8th Place,22.0
8,2009年3⽉9⽇ - 2009年5⽉19⽇,Chuck Wicks,6th Place,18.0
8,2009年3⽉9⽇ - 2009年5⽉19⽇,David Alan Grier,9th Place,15.0
8,2009年3⽉9⽇ - 2009年5⽉19⽇,Steve Wozniak,10th Place,12.0
8,2009年3⽉9⽇ - 2009年5⽉19⽇,Ty Murray,4th Place,10.0
8,2009年3⽉9⽇ - 2009年5⽉19⽇,Holly Madison,11th Place,8.0
8,2009年3⽉9⽇ - 2009年5⽉19⽇,Denise Richards,12th Place,6.0
8,2009年3⽉9⽇ - 2009年5⽉19⽇,Belinda Carlisle,13th Place,4.0
9,2009年9⽉-11⽉,Chuck Liddell,Eliminated 5th,14.0
9,2009年9⽉-11⽉,Melissa Joan Hart,Eliminated 7th,12.0
9,2009年9⽉-11⽉,Joanna Krupa,Eliminated 12th,9.0
9,2009年9⽉-11⽉,Louie Vito,Eliminated 8th,7.0
9,2009年9⽉-11⽉,Aaron Carter,Eliminated 11th,6.0
9,2009年9⽉-11⽉,Natalie Coughlin,Eliminated 6th,5.0
9,2009年9⽉-11⽉,Donny Osmond,Winner,4.0
9,2009年9⽉-11⽉,Kathy Ireland,Eliminated 3rd,4.0
9,2009年9⽉-11⽉,Tom DeLay,Withdrew,4.0
9,2009年9⽉-11⽉,Kelly Osbourne,Third place,4.0
9,2009年9⽉-11⽉,Michael Irvin,Eliminated 9th,3.0
9,2009年9⽉-11⽉,Debi Mazar,Eliminated 4th,1.0
9,2009年9⽉-11⽉,Ashley Hamilton,Eliminated 1st,1.0
9,2009年9⽉-11⽉,Mark Dacascos,Eliminated 10th,1.0
9,2009年9⽉-11⽉,Mýa,Runners-up,0.0
9,2009年9⽉-11⽉,Macy Gray,Eliminated 2nd,
10,2010年3⽉-5⽉,Nicole Scherzinger,Winner,24.0
10,2010年3⽉-5⽉,Kate Gosselin,Eliminated 4th,23.0
10,2010年3⽉-5⽉,Erin Andrews,Third place,16.0
10,2010年3⽉-5⽉,Pamela Anderson,Eliminated 6th,13.0
10,2010年3⽉-5⽉,Jake Pavelka,Eliminated 5th,8.0
10,2010年3⽉-5⽉,Buzz Aldrin,Eliminated 2nd,4.0
10,2010年3⽉-5⽉,Chad Ochocinco,Eliminated 8th,3.0
10,2010年3⽉-5⽉,Shannen Doherty,Eliminated 1st,3.0
10,2010年3⽉-5⽉,Evan Lysacek,Runners-up,2.0
10,2010年3⽉-5⽉,Aiden Turner,Eliminated 3rd,2.0
10,2010年3⽉-5⽉,Niecy Nash,Eliminated 7th,1.0
11,2010年9⽉20⽇ - 2010年11⽉23⽇,The Situation,9th Place,100.0
11,2010年9⽉20⽇ - 2010年11⽉23⽇,Bristol Palin,3rd Place,65.0
11,2010年9⽉20⽇ - 2010年11⽉23⽇,Jennifer Grey,Winner,55.0
11,2010年9⽉20⽇ - 2010年11⽉23⽇,Audrina Patridge,7th Place,45.0
11,2010年9⽉20⽇ - 2010年11⽉23⽇,Brandy,4th Place,35.0
11,2010年9⽉20⽇ - 2010年11⽉23⽇,Florence Henderson,8th Place,28.0
11,2010年9⽉20⽇ - 2010年11⽉23⽇,Kurt Warner,5th Place,22.0
11,2010年9⽉20⽇ - 2010年11⽉23⽇,Kyle Massey,Runner-up,18.0
11,2010年9⽉20⽇ - 2010年11⽉23⽇,Rick Fox,6th Place,15.0
11,2010年9⽉20⽇ - 2010年11⽉23⽇,Margaret Cho,10th Place,12.0
11,2010年9⽉20⽇ - 2010年11⽉23⽇,Michael Bolton,11th Place,8.0
11,2010年9⽉20⽇ - 2010年11⽉23⽇,David Hasselhoff,12th Place,5.0
12,2011年3⽉-5⽉,Romeo,Eliminated 7th,75.0
12,2011年3⽉-5⽉,Kirstie Alley,Runner-up,25.0
12,2011年3⽉-5⽉,Kendra Wilkinson,Eliminated 6th,25.0
12,2011年3⽉-5⽉,Wendy Williams,Eliminated 2nd,22.0
12,2011年3⽉-5⽉,Mike Catherwood,Eliminated 1st,19.0
12,2011年3⽉-5⽉,Sugar Ray Leonard,Eliminated 3rd,13.0
12,2011年3⽉-5⽉,Chris Jericho,Eliminated 5th,11.0
12,2011年3⽉-5⽉,Ralph Macchio,Eliminated 8th,9.0
12,2011年3⽉-5⽉,Chelsea Kane,Third place,8.0
12,2011年3⽉-5⽉,Petra Němcová,Eliminated 4th,8.0
12,2011年3⽉-5⽉,Hines Ward,Winner,7.0
13,2011年9⽉-11⽉,Rob Kardashian,Runners-up,20.0
13,2011年9⽉-11⽉,Kristin Cavallari,Eliminated 3rd,10.0
13,2011年9⽉-11⽉,J.R. Martinez,Winner,9.0
13,2011年9⽉-11⽉,Elisabetta Canalis,Eliminated 2nd,8.0
13,2011年9⽉-11⽉,Nancy Grace,Eliminated 8th,6.0
13,2011年9⽉-11⽉,Chynna Phillips,Eliminated 4th,6.0
13,2011年9⽉-11⽉,Hope Solo,Eliminated 9th,5.0
13,2011年9⽉-11⽉,Chaz Bono,Eliminated 6th,5.0
13,2011年9⽉-11⽉,Metta World Peace,Eliminated 1st,2.0
13,2011年9⽉-11⽉,Carson Kressley,Eliminated 5th,2.0
13,2011年9⽉-11⽉,David Arquette,Eliminated 7th,1.0
13,2011年9⽉-11⽉,Ricki Lake,Third place,1.0
14,2012年3⽉-5⽉,William Levy,Third place,19.0
14,2012年3⽉-5⽉,Jack Wagner,Eliminated 2nd,15.0
14,2012年3⽉-5⽉,Maria Menounos,Eliminated 9th,9.0
14,2012年3⽉-5⽉,Gavin DeGraw,Eliminated 4th,9.0
14,2012年3⽉-5⽉,Melissa Gilbert,Eliminated 8th,8.0
14,2012年3⽉-5⽉,Gladys Knight,Eliminated 5th,8.0
14,2012年3⽉-5⽉,Katherine Jenkins,Runner-up,6.0
14,2012年3⽉-5⽉,Jaleel White,Eliminated 6th,5.0
14,2012年3⽉-5⽉,Martina Navratilova,Eliminated 1st,5.0
14,2012年3⽉-5⽉,Donald Driver,Winner,3.0
14,2012年3⽉-5⽉,Roshon Fegan,Eliminated 7th,3.0
14,2012年3⽉-5⽉,Sherri Shepherd,Eliminated 3rd,2.0
15,"2012年9⽉-11⽉, 全明星赛",Kirstie Alley,Eliminated 7th,100.0
15,"2012年9⽉-11⽉, 全明星赛",Pamela Anderson,Eliminated 1st,94.0
15,"2012年9⽉-11⽉, 全明星赛",Kelly Monaco,Third place,62.0
15,"2012年9⽉-11⽉, 全明星赛",Emmitt Smith,Eliminated 10th,61.0
15,"2012年9⽉-11⽉, 全明星赛",Bristol Palin,Eliminated 5th,57.0
15,"2012年9⽉-11⽉, 全明星赛",Shawn Johnson,Runners-up,45.0
15,"2012年9⽉-11⽉, 全明星赛",Sabrina Bryan,Eliminated 6th,45.0
15,"2012年9⽉-11⽉, 全明星赛",Gilles Marini,Eliminated 8th,41.0
15,"2012年9⽉-11⽉, 全明星赛",Melissa Rycroft,Winner,29.0
15,"2012年9⽉-11⽉, 全明星赛",Joey Fatone,Eliminated 2nd,13.0
15,"2012年9⽉-11⽉, 全明星赛",Drew Lachey,Eliminated 3rd,13.0
15,"2012年9⽉-11⽉, 全明星赛",Apolo Anton Ohno,Eliminated 9th,6.0
15,"2012年9⽉-11⽉, 全明星赛",Hélio Castroneves,Eliminated 4th,0.0
16,2013年3⽉-5⽉,Kellie Pickler,Winner,100.0
16,2013年3⽉-5⽉,Zendaya,Runners-up,88.0
16,2013年3⽉-5⽉,Jacoby Jones,Third place,44.0
16,2013年3⽉-5⽉,Sean Lowe,Eliminated 6th,31.0
16,2013年3⽉-5⽉,Andy Dick,Eliminated 5th,25.0
16,2013年3⽉-5⽉,Lisa Vanderpump,Eliminated 2nd,22.0
16,2013年3⽉-5⽉,Dorothy Hamill,Withdrew,21.0
16,2013年3⽉-5⽉,Victor Ortiz,Eliminated 4th,13.0
16,2013年3⽉-5⽉,Wynonna Judd,Eliminated 1st,11.0
16,2013年3⽉-5⽉,Alexandra Raisman,Eliminated 8th,8.0
16,2013年3⽉-5⽉,Ingo Rademacher,Eliminated 7th,6.0
16,2013年3⽉-5⽉,D.L. Hughley,Eliminated 3rd,5.0
17,2013年9⽉-11⽉,Amber Riley,Winner,40.0
